ticker,date,open,high,low,close
ACH,2022-11-28,0.0094172,0.0103542,0.0088879,0.0092864
ACH,2022-11-29,0.0092864,0.0096249,0.00919604,0.00927657
ACH,2022-11-30,0.00931655,0.0097501,0.00926676,0.00970739
ACH,2022-12-01,0.00970729,0.0105304,0.00933903,0.0099906
ACH,2022-12-02,0.0099906,0.0102511,0.00979078,0.0100206
ACH,2022-12-03,0.0100266,0.0100842,0.00962492,0.00965897
ACH,2022-12-04,0.00965897,0.00986099,0.00965397,0.00979698
ACH,2022-12-05,0.00980396,0.010014,0.009533,0.00955119
ACH,2022-12-06,0.00955196,0.00967281,0.00937931,0.00965981
ACH,2022-12-07,0.00965981,0.009683,0.00914809,0.009209
ACH,2022-12-08,0.009209,0.00929586,0.00906381,0.00924765
ACH,2022-12-09,0.00924765,0.00951557,0.00923583,0.00926028
ACH,2022-12-10,0.00926028,0.00945609,0.00923182,0.00929681
ACH,2022-12-11,0.00929691,0.0094,0.00926809,0.00927293
ACH,2022-12-12,0.00927285,0.00927285,0.00900099,0.00923583
ACH,2022-12-13,0.00923883,0.00925483,0.00865887,0.00888387
ACH,2022-12-14,0.00888387,0.00904182,0.00876574,0.00881962
ACH,2022-12-15,0.008819,0.00883888,0.00861286,0.00865273
ACH,2022-12-16,0.00865273,0.00880488,0.00764776,0.00764776
ACH,2022-12-17,0.00764776,0.00812181,0.00752075,0.00793803
ACH,2022-12-18,0.00793511,0.0080264,0.00768269,0.00776201
ACH,2022-12-19,0.00776201,0.00783825,0.00723314,0.00726793
ACH,2022-12-20,0.00726493,0.00864,0.00724,0.00798032
ACH,2022-12-21,0.00799032,0.00815024,0.00769992,0.00773039
ACH,2022-12-22,0.00771231,0.007867,0.00757132,0.00775668
ACH,2022-12-23,0.00775284,0.00908918,0.00773492,0.00812919
ACH,2022-12-24,0.0081391,0.00841933,0.00793921,0.00807943
ACH,2022-12-25,0.00807952,0.00875904,0.00798276,0.00827892
ACH,2022-12-26,0.00826901,0.00863914,0.00819844,0.00825835
ACH,2022-12-27,0.00824843,0.00838841,0.00795634,0.00802787
ACH,2022-12-28,0.00802771,0.0081074,0.0078067,0.00783077
ACH,2022-12-29,0.007831,0.00786407,0.00753676,0.00758858
ACH,2022-12-30,0.00758259,0.00822105,0.00758251,0.00792803
ACH,2022-12-31,0.00792995,0.00795218,0.00774205,0.0077961
ACH,2023-01-01,0.00778611,0.0078869,0.00772614,0.0078733
ACH,2023-01-02,0.0078733,0.00814374,0.00779472,0.00805534
ACH,2023-01-03,0.00805342,0.00815747,0.00781672,0.00784394
ACH,2023-01-04,0.00784294,0.00823595,0.00783394,0.00808133
ACH,2023-01-05,0.00808033,0.00818454,0.00790983,0.00794422
ACH,2023-01-06,0.00794314,0.0079968,0.00781454,0.00797253
ACH,2023-01-07,0.00797845,0.00810181,0.0078941,0.0078961
ACH,2023-01-08,0.0078951,0.0080903,0.00786266,0.00798404
ACH,2023-01-09,0.00798304,0.00846282,0.00797456,0.00826592
ACH,2023-01-10,0.008268,0.00837899,0.0081511,0.00832617
ACH,2023-01-11,0.00832633,0.00839092,0.00804703,0.00836725
ACH,2023-01-12,0.008389,0.0086226,0.00815576,0.00858077
ACH,2023-01-13,0.00858486,0.00894298,0.008422,0.0088358
ACH,2023-01-14,0.00885471,0.00955543,0.00883571,0.00929446
ACH,2023-01-15,0.00930493,0.00940019,0.00890271,0.00912774
ACH,2023-01-16,0.00914565,0.0152097,0.00908773,0.0132003
ACH,2023-01-17,0.0131903,0.0144311,0.01175,0.0120412
ACH,2023-01-18,0.0120113,0.0122012,0.0100894,0.0105195
ACH,2023-01-19,0.0105595,0.0113497,0.0103099,0.0107696
ACH,2023-01-20,0.0107697,0.0115221,0.01037,0.0113019
ACH,2023-01-21,0.011312,0.0116725,0.0111417,0.0111918
ACH,2023-01-22,0.0111718,0.0112318,0.0106915,0.0108122
ACH,2023-01-23,0.0108021,0.0114411,0.010772,0.0111417
ACH,2023-01-24,0.0111516,0.0113019,0.0106716,0.0107002
ACH,2023-01-25,0.0106903,0.0131333,0.0103419,0.0112719
ACH,2023-01-26,0.011242,0.0114525,0.0109723,0.0111109
ACH,2023-01-27,0.011111,0.0112218,0.0106831,0.0110642
ACH,2023-01-28,0.0110542,0.0112926,0.0109319,0.0109522
ACH,2023-01-29,0.0109422,0.0124934,0.0109226,0.0115305
ACH,2023-01-30,0.0115506,0.016731,0.0111109,0.0152611
ACH,2023-01-31,0.0151911,0.0184289,0.0133003,0.0138612
ACH,2023-02-01,0.0138412,0.01471,0.01285,0.0140808
ACH,2023-02-02,0.0140907,0.0163041,0.0139021,0.0145129
ACH,2023-02-03,0.0145129,0.0168722,0.0139118,0.0157213
ACH,2023-02-04,0.0156913,0.018392,0.0152612,0.0177514
ACH,2023-02-05,0.0177614,0.0226252,0.0171617,0.0195449
ACH,2023-02-06,0.0195251,0.0209657,0.0177135,0.0184107
ACH,2023-02-07,0.0184007,0.0190196,0.01767,0.0186613
ACH,2023-02-08,0.0186711,0.0192213,0.0165813,0.0173512
ACH,2023-02-09,0.0173412,0.0175504,0.0144427,0.0144614
ACH,2023-02-10,0.0144614,0.0161615,0.0144136,0.0152323
ACH,2023-02-11,0.0152123,0.0159019,0.0150614,0.0157414
ACH,2023-02-12,0.0157616,0.0175419,0.0151227,0.0159913
ACH,2023-02-13,0.0159816,0.0165946,0.0148208,0.0153484
ACH,2023-02-14,0.0153583,0.0162162,0.0150211,0.0157757
ACH,2023-02-15,0.0157565,0.0184329,0.0155143,0.0178832
ACH,2023-02-16,0.0178632,0.0276025,0.0176532,0.0199668
ACH,2023-02-17,0.0199528,0.0237107,0.019502,0.0223722
ACH,2023-02-18,0.0224238,0.0235433,0.0212036,0.0229637
ACH,2023-02-19,0.0229237,0.0308371,0.0221235,0.0301266
ACH,2023-02-20,0.0300766,0.045245,0.0276453,0.0405416
ACH,2023-02-21,0.0408216,0.0494745,0.0361058,0.041127
ACH,2023-02-22,0.041047,0.0473643,0.0367748,0.0460205
ACH,2023-02-23,0.0460305,0.0513451,0.0415546,0.0446358
ACH,2023-02-24,0.0446663,0.0460087,0.0360018,0.0371296
ACH,2023-02-25,0.0371496,0.03997,0.0361436,0.0386827
ACH,2023-02-26,0.0386039,0.0406237,0.0372534,0.0385023
ACH,2023-02-27,0.0385249,0.042743,0.0377098,0.0396624
ACH,2023-02-28,0.039692,0.040352,0.033433,0.0341061
ACH,2023-03-01,0.0340668,0.0379323,0.0336654,0.0360847
ACH,2023-03-02,0.0360647,0.0365955,0.0325103,0.0344731
ACH,2023-03-03,0.0344231,0.0345431,0.0286329,0.0329423
ACH,2023-03-04,0.032912,0.033351,0.0292915,0.0303824
ACH,2023-03-05,0.0303724,0.033873,0.0303224,0.0326036
ACH,2023-03-06,0.0325836,0.0326203,0.0308825,0.0315281
ACH,2023-03-07,0.0315068,0.0330493,0.0289588,0.0294085
ACH,2023-03-08,0.0294485,0.03086,0.0250685,0.025489
ACH,2023-03-09,0.0254767,0.0302403,0.0250023,0.0250123
ACH,2023-03-10,0.0250125,0.0264272,0.0225982,0.0261641
ACH,2023-03-11,0.0261335,0.0271905,0.0237525,0.0249899
ACH,2023-03-12,0.0250535,0.0274636,0.0235331,0.0270655
ACH,2023-03-13,0.0270554,0.0353117,0.0269418,0.034969
ACH,2023-03-14,0.0349389,0.0399912,0.0329615,0.0362086
ACH,2023-03-15,0.0361784,0.0416895,0.0316689,0.0341428
ACH,2023-03-16,0.0341328,0.0362592,0.0329148,0.0346751
ACH,2023-03-17,0.0346454,0.0400102,0.0339943,0.0393774
ACH,2023-03-18,0.0393874,0.0437474,0.0377918,0.0382942
ACH,2023-03-19,0.0383748,0.0450142,0.0370353,0.0422677
ACH,2023-03-20,0.0422075,0.0426012,0.0370269,0.0379079
ACH,2023-03-21,0.0378778,0.0399143,0.0354725,0.0385831
ACH,2023-03-22,0.0386028,0.0388962,0.0334554,0.0356567
ACH,2023-03-23,0.0355171,0.0368218,0.0342388,0.0355438
ACH,2023-03-24,0.0355338,0.0360473,0.0313213,0.0320349
ACH,2023-03-25,0.0319654,0.0341948,0.0317458,0.0323113
ACH,2023-03-26,0.0323013,0.0343008,0.0319584,0.0331975
ACH,2023-03-27,0.0332265,0.0339636,0.0302503,0.0311346
ACH,2023-03-28,0.0311346,0.0334834,0.0305695,0.0328425
ACH,2023-03-29,0.0328328,0.0354985,0.0326724,0.0351746
ACH,2023-03-30,0.0350467,0.0382334,0.0339651,0.0352795
ACH,2023-03-31,0.0353099,0.0364644,0.0340502,0.0356471
ACH,2023-04-01,0.0356371,0.0363713,0.0341178,0.0346125
ACH,2023-04-02,0.0346625,0.0359051,0.0327626,0.0331706
ACH,2023-04-03,0.0332006,0.0395162,0.0320067,0.0360741
ACH,2023-04-04,0.0361945,0.0382957,0.035516,0.0374291
ACH,2023-04-05,0.0374987,0.038632,0.0361015,0.0367432
ACH,2023-04-06,0.0367436,0.0414415,0.0360908,0.040014
ACH,2023-04-07,0.040134,0.0436518,0.0394293,0.0397394
ACH,2023-04-08,0.0397594,0.0406452,0.0375488,0.0378247
ACH,2023-04-09,0.0378047,0.0444166,0.0370926,0.0414148
ACH,2023-04-10,0.0413189,0.0438798,0.0393972,0.0430453
ACH,2023-04-11,0.043235,0.0441905,0.041444,0.0422117
ACH,2023-04-12,0.0422318,0.0431723,0.039059,0.0412622
ACH,2023-04-13,0.0412622,0.0416162,0.0391383,0.0397181
ACH,2023-04-14,0.0397081,0.0415795,0.0380372,0.0393122
ACH,2023-04-15,0.0393923,0.0399924,0.0383607,0.0388349
ACH,2023-04-16,0.0388245,0.0414486,0.0385431,0.0409478
ACH,2023-04-17,0.0409778,0.0416529,0.0370255,0.0385331
ACH,2023-04-18,0.0385527,0.0400856,0.0378723,0.0391871
ACH,2023-04-19,0.0391559,0.0394926,0.0350984,0.0371504
ACH,2023-04-20,0.0371701,0.037349,0.0338781,0.0342427
ACH,2023-04-21,0.0342324,0.0355,0.0322739,0.0324364
ACH,2023-04-22,0.0324964,0.0352711,0.0323203,0.0343731
ACH,2023-04-23,0.0343731,0.0348428,0.0325872,0.0331117
ACH,2023-04-24,0.0330517,0.0345697,0.0325067,0.0335807
ACH,2023-04-25,0.033651,0.0340178,0.03241,0.0340178
ACH,2023-04-26,0.0340078,0.0354293,0.0310112,0.0323804
ACH,2023-04-27,0.0323804,0.0340037,0.0319712,0.0336218
ACH,2023-04-28,0.0336311,0.0337615,0.0321738,0.0326851
ACH,2023-04-29,0.0327048,0.0335121,0.032353,0.0328394
ACH,2023-04-30,0.0328494,0.0328691,0.0310583,0.0314579
ACH,2023-05-01,0.0314576,0.0321654,0.0293723,0.0298278
ACH,2023-05-02,0.0298781,0.0303806,0.0288852,0.0301587
ACH,2023-05-03,0.0301384,0.0303564,0.0280962,0.0300278
ACH,2023-05-04,0.0301581,0.0305855,0.028793,0.0290407
ACH,2023-05-05,0.0290607,0.0300907,0.0282807,0.0299272
ACH,2023-05-06,0.0299475,0.0301107,0.0268516,0.0273077
ACH,2023-05-07,0.0272963,0.0276565,0.0267716,0.0268914
ACH,2023-05-08,0.0268829,0.0268829,0.0232265,0.0234278
ACH,2023-05-09,0.0234678,0.0241457,0.022983,0.0231031
ACH,2023-05-10,0.0230931,0.0243844,0.0221813,0.0238839
ACH,2023-05-11,0.0238839,0.0241517,0.0214893,0.0223323
ACH,2023-05-12,0.0223824,0.0226726,0.0210105,0.0223879
ACH,2023-05-13,0.022508,0.0228837,0.0218009,0.021931
ACH,2023-05-14,0.0219732,0.0237542,0.0214107,0.0230038
ACH,2023-05-15,0.0229415,0.0253177,0.0225513,0.024247
ACH,2023-05-16,0.024307,0.0275438,0.0238467,0.0273036
ACH,2023-05-17,0.0273109,0.0287043,0.0262605,0.0279139
ACH,2023-05-18,0.0279039,0.0292188,0.0261979,0.0270308
ACH,2023-05-19,0.0270508,0.0279403,0.0262229,0.026728
ACH,2023-05-20,0.0268234,0.0268434,0.0257354,0.0263637
ACH,2023-05-21,0.0263537,0.0279039,0.0256754,0.0260156
ACH,2023-05-22,0.026003,0.0285171,0.024995,0.0279039
ACH,2023-05-23,0.027974,0.0301733,0.0273268,0.0278317
ACH,2023-05-24,0.0278839,0.0297815,0.0259964,0.0272084
ACH,2023-05-25,0.0271986,0.0279455,0.026091,0.0268908
ACH,2023-05-26,0.0268908,0.0274877,0.0260123,0.0270159
ACH,2023-05-27,0.0269881,0.0289116,0.0265974,0.0287809
ACH,2023-05-28,0.0287906,0.029498,0.0281282,0.0288366
ACH,2023-05-29,0.0288663,0.029899,0.0281273,0.0291587
ACH,2023-05-30,0.0291084,0.0298693,0.0285394,0.0292314
ACH,2023-05-31,0.0292414,0.0311587,0.0271871,0.0290555
ACH,2023-06-01,0.0290644,0.031415,0.0279667,0.0297686
ACH,2023-06-02,0.0297983,0.0303473,0.0290558,0.0301278
ACH,2023-06-03,0.0300778,0.0302191,0.0280504,0.0283711
ACH,2023-06-04,0.0282907,0.02851,0.0272001,0.0276591
ACH,2023-06-05,0.0276488,0.0278092,0.0232809,0.0238772
ACH,2023-06-06,0.0238572,0.0250948,0.0235538,0.024947
ACH,2023-06-07,0.0249872,0.0251963,0.0226068,0.0229725
ACH,2023-06-08,0.0229525,0.0241236,0.0225723,0.0232442
ACH,2023-06-09,0.0232844,0.0234893,0.0222453,0.0228354
ACH,2023-06-10,0.0228461,0.0228861,0.0170026,0.0188209
ACH,2023-06-11,0.0188309,0.0196989,0.0183979,0.0193979
ACH,2023-06-12,0.0193979,0.0206568,0.0187766,0.0202608
ACH,2023-06-13,0.0203008,0.0205588,0.0194665,0.0201974
ACH,2023-06-14,0.0201574,0.0204834,0.0186461,0.0188083
ACH,2023-06-15,0.0189883,0.0196225,0.0184197,0.0195138
ACH,2023-06-16,0.0195136,0.0200575,0.0187277,0.0196345
ACH,2023-06-17,0.0196944,0.0205193,0.0195171,0.0203317
ACH,2023-06-18,0.0203215,0.0205424,0.0194157,0.0195555
ACH,2023-06-19,0.0196153,0.0198797,0.019289,0.0193738
ACH,2023-06-20,0.0194038,0.0212032,0.0190514,0.0209231
ACH,2023-06-21,0.0209331,0.0229195,0.0208533,0.0220313
ACH,2023-06-22,0.022032,0.0233595,0.0217807,0.0221647
ACH,2023-06-23,0.0221847,0.0230074,0.0214841,0.022423
ACH,2023-06-24,0.0223932,0.0228107,0.021131,0.0215636
ACH,2023-06-25,0.0215836,0.023649,0.0215836,0.0224772
